ID_Transaksi,Umur_Pelanggan,Pendapatan_Bulanan,Jumlah_Item,Total_Belanja,Kategori_Produk
372,48,5637967,4,1930519,Fashion
373,63,4367893,4,1413963,Elektronik
374,38,11828959,9,2524427,Makanan
375,39,7766140,4,1622566,Makanan
376,18,12287525,9,865182,Elektronik
377,43,7053127,6,984814,Elektronik
378,58,2739574,7,891830,Elektronik
379,18,6071495,3,787902,Elektronik
380,42,2325437,8,356489,Elektronik
381,33,12205368,3,2764870,Makanan
382,56,4091013,1,2262073,Fashion
383,49,14019231,5,666017,Elektronik
384,25,5681890,2,2812734,Elektronik
385,59,7991305,6,2278610,Elektronik
386,64,2872834,9,2476466,Makanan
387,55,6637370,1,2188030,Makanan
388,45,8626379,4,2347893,Fashion
389,58,11008304,1,1267997,Fashion
390,42,14460858,1,1713216,Fashion
391,51,7887774,8,1038807,Fashion
392,41,14501340,2,1533313,Makanan
393,40,14702974,1,2689823,Fashion
394,29,9352132,8,2807413,Elektronik
395,23,3032499,4,2976473,Makanan
396,52,5820888,3,1637497,Makanan
397,61,9730302,4,2733684,Makanan
398,36,9534504,5,2014185,Elektronik
399,17,13364638,1,2035243,Makanan
400,24,4331348,1,2337243,Elektronik
401,62,14790521,3,978211,Fashion
402,32,12401363,6,1444317,Makanan
403,30,14865918,1,750461,Elektronik
404,28,8565269,2,750066,Makanan
405,39,9199107,7,782444,Fashion
406,31,4806284,1,65115,Makanan
407,44,12239532,7,1173955,Fashion
408,50,13275177,4,1332129,Makanan
409,18,13739056,6,614267,Elektronik
410,48,12002707,8,2843153,Fashion
411,39,8572531,9,2740817,Makanan
412,38,3141452,6,2677856,Fashion
413,41,8816080,9,2538081,Fashion
414,38,7550560,4,705954,Elektronik
415,38,3230796,6,457609,Elektronik
416,58,2113936,8,478596,Elektronik
417,22,6210583,9,750416,Elektronik
418,31,9539769,3,1982515,Fashion
419,59,13638087,2,2132264,Fashion
420,53,13900913,6,692531,Makanan
421,49,6280428,4,2774510,Makanan
422,24,12301101,1,1658990,Makanan
423,60,4433351,8,2751822,Elektronik
424,60,4189063,9,1001186,Fashion
425,21,13370810,9,2689668,Fashion
426,55,4819182,2,598297,Makanan
427,20,11382586,9,836526,Makanan
428,22,2447244,7,1598780,Fashion
429,61,12861796,5,1509222,Elektronik
430,48,8252016,7,2637033,Makanan
431,46,14820635,9,2128850,Makanan
432,63,13867608,8,2864806,Fashion
433,51,11227535,6,2407395,Fashion
434,56,10471414,4,1643724,Makanan
435,32,14413953,1,2482108,Makanan
436,29,13217653,6,1426807,Elektronik
437,58,3278673,3,1836999,Elektronik
438,46,7168638,6,1501537,Elektronik
439,35,6115741,6,1308181,Elektronik
440,33,8778892,4,2689770,Makanan
441,35,5457521,2,1809268,Makanan
442,44,6684013,9,2644489,Makanan
443,42,13766540,2,2070612,Elektronik
444,53,12843306,3,1874998,Makanan
445,42,7044829,1,271437,Fashion
446,39,7683860,7,1404056,Elektronik
447,25,12667631,1,582358,Fashion
448,28,4438710,9,2672760,Elektronik
449,17,10887120,1,925475,Makanan
450,17,13889575,5,351065,Elektronik
451,63,2767442,7,2153741,Fashion
452,50,9936627,3,2080489,Elektronik
453,48,10863886,9,2183527,Fashion
454,64,3930440,8,2190237,Makanan
455,41,10768201,3,635128,Fashion
456,56,2494955,5,2845712,Makanan
457,61,7478878,7,2038506,Fashion
458,17,11908788,4,1944728,Makanan
459,32,7679487,5,245961,Fashion
460,55,6840349,3,1554777,Makanan
461,21,3626528,9,2191997,Makanan
462,38,8096696,9,1995861,Makanan
463,45,4914611,7,1206993,Fashion
464,19,13176584,2,2260588,Fashion
465,28,3308014,7,2635440,Makanan
466,42,4247680,7,2236940,Elektronik
467,32,8589154,5,2777162,Makanan
468,53,4821839,9,2986036,Elektronik
469,38,2298783,3,1849995,Makanan
470,45,13765518,4,1864099,Fashion
471,30,5602571,1,2416760,Elektronik
472,44,10340960,6,2350881,Fashion
473,21,11526221,4,321984,Elektronik
474,63,5879928,1,545832,Elektronik
475,46,14243896,2,352912,Elektronik
476,62,9039879,3,857359,Elektronik
477,21,4115226,9,1983630,Fashion
478,28,8962365,8,1114367,Elektronik
479,32,3340683,7,1413347,Makanan
480,42,5630400,4,1489605,Makanan
481,42,7994602,1,2816884,Elektronik
482,64,4854119,8,1081743,Fashion
483,37,4673705,4,1584682,Fashion
484,55,8307517,3,421698,Elektronik
485,52,5597170,9,2277588,Fashion
486,49,5305610,4,1185649,Fashion
487,46,10841830,4,2443666,Fashion
488,53,4088618,9,1149984,Elektronik
489,39,12987935,2,2123431,Makanan
490,26,9596537,5,2564071,Makanan
491,21,8922972,4,1244882,Makanan
492,52,6400852,9,2285756,Makanan
493,50,8759991,5,2121750,Makanan
494,47,4593157,9,2444712,Fashion
495,26,13186517,9,1171015,Fashion
496,35,9058021,2,592530,Fashion
497,48,13337919,9,2852766,Elektronik
498,17,8119922,3,1964332,Fashion
499,21,7575477,4,871681,Makanan
500,61,8919879,1,1985132,Fashion
501,20,9759080,1,921510,Makanan
502,32,8662064,1,2441590,Fashion
503,40,2217314,9,446900,Makanan
504,32,4635122,8,467011,Fashion
505,18,7728394,5,2664503,Makanan
506,44,13854640,5,2862813,Makanan
507,48,2748692,9,512403,Elektronik
508,43,4382962,3,191503,Fashion
509,36,5466689,3,401771,Makanan
510,40,12465383,7,2237533,Fashion
511,28,3614694,9,402171,Makanan
512,51,10970512,6,1809308,Elektronik
513,49,6465669,2,906798,Elektronik
514,49,13676818,1,144176,Elektronik
515,59,5881143,2,1742531,Elektronik
516,53,6911077,1,385014,Makanan
517,28,13535387,9,621675,Fashion
518,19,3945537,8,845736,Elektronik
519,17,12429989,7,1902040,Elektronik
520,49,9941238,3,141291,Elektronik
521,56,10466724,8,949321,Fashion
522,26,10772978,2,2570022,Makanan
523,59,12411251,2,2197849,Makanan
524,60,5374659,3,2011039,Makanan
525,45,13841237,7,762111,Makanan
526,29,2519385,1,1179674,Fashion
527,28,13917488,8,2791186,Fashion
528,47,3572138,7,557099,Fashion
529,62,12405945,4,2254924,Elektronik
530,18,12712332,5,2265080,Fashion
531,51,12617139,1,2021022,Makanan
532,39,12018361,4,1145995,Fashion
533,33,7180703,1,1416825,Elektronik
534,42,2226256,1,246979,Makanan
535,24,8853878,1,2170556,Fashion
536,45,10809147,7,2283926,Makanan
537,42,9849453,7,1565675,Makanan
538,26,8494290,4,150965,Fashion
539,42,5373307,2,1987627,Fashion
540,50,2550242,3,1579870,Elektronik
541,57,9001837,8,158269,Fashion
542,23,5497831,8,2579610,Fashion
543,20,4848439,6,961415,Fashion
544,61,7978106,9,2181294,Makanan
545,27,10065819,9,2256851,Elektronik
546,45,12911527,4,1719090,Makanan
547,52,10333920,1,2872451,Fashion
548,41,10120766,1,2871594,Elektronik
549,37,4021835,5,2249433,Fashion
550,52,11188295,2,1520685,Makanan
551,26,8427095,6,1632252,Makanan
552,53,8078159,7,550508,Fashion
553,25,14237699,1,1161545,Elektronik
554,40,5531674,6,139244,Makanan
555,51,12809480,8,1702408,Fashion
556,51,9336302,5,2904065,Fashion
557,64,13316111,7,244068,Fashion
558,52,8282827,6,591833,Elektronik
559,34,10739287,4,707739,Fashion
560,55,8792566,7,1325421,Fashion
561,48,8021656,9,2651852,Makanan
562,40,8519585,7,1972354,Fashion
563,39,10132162,5,746480,Elektronik
564,48,4426105,7,1378529,Fashion
565,53,6811671,3,1020317,Elektronik
566,28,11492989,2,2614373,Fashion
567,29,8453877,5,1388687,Fashion
568,39,9547881,4,2102592,Fashion
569,41,12404936,5,2898115,Elektronik
570,51,7055769,8,1993419,Makanan
571,57,14821395,4,1832414,Elektronik
572,46,8061266,9,462707,Makanan
573,33,10658754,7,2479365,Elektronik
574,36,7574807,7,2437117,Fashion
575,64,6301828,8,1070576,Fashion
576,41,8509762,6,735305,Makanan
577,38,2544026,8,1176310,Makanan
578,29,5942863,3,506982,Elektronik
579,35,14696688,1,275962,Elektronik
580,52,14763406,6,2656774,Makanan
581,28,8243490,1,2547537,Makanan
582,57,8484427,9,2056209,Elektronik
583,35,9221352,2,1458165,Makanan
584,28,6472089,2,578118,Makanan
585,25,11778862,7,1971948,Makanan
586,23,2268449,2,1257405,Makanan
587,44,4850774,8,1003154,Fashion
588,30,9620958,6,2836278,Fashion
589,47,7583281,7,1048982,Makanan
590,35,6430675,7,1917427,Elektronik
591,63,14563926,6,853100,Fashion
592,32,11034883,9,1508038,Elektronik
593,21,7918806,9,1123572,Elektronik
594,51,10513199,7,363456,Fashion
595,28,8822255,9,1371187,Elektronik
596,41,11027712,3,1340028,Elektronik
597,37,12986741,3,1774943,Makanan
598,52,6461213,1,1822015,Makanan
599,39,13685762,5,1389422,Makanan
600,32,11723257,4,668657,Fashion
601,55,11597076,2,2747009,Makanan
602,61,3160152,9,366096,Elektronik
603,58,14129712,3,2705609,Elektronik
604,55,11372275,8,1027639,Elektronik
605,30,13611861,6,2151674,Elektronik
606,47,8305236,5,1970695,Elektronik
607,21,4365885,1,1527111,Fashion
608,51,8195196,4,2265728,Elektronik
609,39,2880096,3,2308697,Fashion
610,45,13979045,1,2941283,Elektronik
611,59,12589948,5,1166741,Fashion
612,27,4714766,6,591729,Fashion
613,34,4924537,2,2177868,Elektronik
614,63,3592173,3,1685039,Elektronik
615,28,12015667,6,1360185,Elektronik
616,25,3074477,4,68179,Elektronik
617,26,3473300,9,2250305,Makanan
618,60,8759383,5,1573155,Makanan
619,33,2297584,4,1876839,Fashion
620,54,11794410,2,649255,Fashion
621,23,2892015,6,938886,Makanan
622,62,12872110,2,1842803,Fashion
623,29,12356675,7,1793174,Elektronik
624,56,10020497,3,2193177,Fashion
625,58,3651348,9,1515355,Fashion
626,25,4871259,5,1888720,Fashion
627,43,10270562,8,357633,Makanan
628,18,2854741,6,2179816,Makanan
629,21,5352214,8,1864735,Fashion
630,45,4023615,3,193492,Elektronik
631,53,5010087,3,2938899,Fashion
632,54,6644081,5,1562709,Makanan
633,35,10530057,3,275648,Elektronik
634,24,13063640,8,2638279,Fashion
635,64,7381299,8,653318,Makanan
636,61,14878832,2,2211062,Elektronik
637,17,5018439,4,802648,Fashion
638,38,12017270,1,1844829,Makanan
639,33,2135370,4,1416639,Elektronik
640,23,2856636,4,2098566,Fashion
641,41,13358399,9,786648,Elektronik
642,61,14421124,3,1594718,Elektronik
643,20,6642681,2,447348,Elektronik
644,52,13332844,9,2536449,Makanan
645,22,8194868,9,1585604,Fashion
646,47,11304612,1,548515,Elektronik
647,35,8535223,6,988055,Elektronik
648,60,11982394,8,2108591,Elektronik
649,55,2427244,3,2484196,Makanan
650,43,5555912,9,76296,Elektronik
651,26,7011002,2,2106296,Makanan
652,42,6713199,6,2747017,Makanan
653,35,11664001,1,2877102,Elektronik
654,55,4514368,7,1700037,Elektronik
655,19,4089319,3,2616661,Makanan
656,61,7125819,7,2647162,Makanan
657,29,12598429,4,149074,Elektronik
658,44,2792330,9,573136,Makanan
659,36,6474843,5,1518907,Makanan
660,44,3742955,3,2828550,Elektronik
661,24,9312203,8,2708062,Elektronik
662,57,10654758,6,1396606,Fashion
663,55,4786905,2,2067364,Elektronik
664,17,3845964,3,2989961,Elektronik
665,19,8734714,8,132910,Elektronik
666,29,10878023,7,1279510,Fashion
667,44,13432895,6,2528288,Makanan
668,41,5503548,1,563271,Elektronik
669,49,2646012,9,555042,Elektronik
670,54,12024373,3,2311030,Fashion
671,22,9185115,5,2820171,Fashion
672,60,4585181,7,1081810,Fashion
673,61,9981512,7,204525,Makanan
674,48,4269798,3,998002,Fashion
675,61,6181726,4,2949896,Makanan
676,63,5439289,7,2935020,Elektronik
677,37,8641620,8,1912577,Elektronik
678,32,9685815,2,2599181,Elektronik
679,37,12394142,9,691075,Fashion
680,27,10521267,7,2089309,Elektronik
681,53,4598475,8,1799922,Fashion
682,52,2639872,6,2511851,Makanan
683,51,5855798,6,2855689,Elektronik
684,35,6941412,9,82646,Makanan
685,36,4959470,4,1174702,Fashion
686,34,2936320,5,2661268,Fashion
687,63,14275520,9,1353793,Elektronik
688,57,7010168,1,2974014,Elektronik
689,30,7422569,4,434382,Fashion
690,31,14850510,7,642947,Elektronik
691,47,3647824,9,689629,Elektronik
692,17,11539605,6,2675598,Makanan
693,19,5383973,8,1174643,Fashion
694,32,7810786,9,733098,Makanan
695,39,6125903,4,59879,Elektronik
696,27,10821437,1,186615,Makanan
697,28,6411054,8,686572,Fashion
698,26,6314896,2,2326148,Makanan
699,48,2234000,1,1534140,Makanan
700,32,13266037,7,2493413,Elektronik
701,24,10710745,9,1004183,Fashion
702,54,13412112,9,260190,Elektronik
703,28,12993829,3,1666752,Elektronik
704,40,9942992,6,866708,Fashion
705,44,14308975,7,579087,Makanan
706,24,9144013,9,533843,Elektronik
707,44,13751852,2,799130,Makanan
708,52,6573957,8,1473249,Fashion
709,42,12688877,7,2237293,Elektronik
710,24,14819981,4,1028062,Makanan
711,44,10955118,2,1233759,Makanan
712,44,14369991,8,1516478,Elektronik
713,53,11679502,5,2350775,Fashion
714,57,2708092,6,478410,Makanan
715,52,9724826,7,824426,Fashion
716,43,3097996,1,2593884,Elektronik
717,33,10988400,8,2788659,Makanan
718,25,11963934,4,2629098,Makanan
719,49,12757364,9,618392,Makanan
720,36,6817911,1,1136706,Fashion
721,29,14315298,2,513445,Makanan
722,44,6858939,6,2516590,Makanan
723,64,8254597,1,866386,Elektronik
724,45,2668629,4,2292402,Makanan
725,29,12091065,8,1076437,Fashion
726,62,3171248,5,232235,Elektronik
727,51,13993494,9,2019124,Elektronik
728,22,3383640,6,637453,Makanan
